id,name,latitude,longitude,category_stars
1,Iberostar Playa de Muro,39.79335761,3.105731907,4
2,Prinsotel La Pineda,39.70721091,3.410690512,4
4,Grupotel Gran Vista & Spa,39.76280147,3.142552752,4
5,Playa Esperanza Hotel,39.78750367,3.105263742,4
6,Cala d´Or Hotel - Erwachsenenhotel,39.37486362,3.226050022,4
7,Valentin Paguera Hotel & Suites - Erwachsenenhotel,39.54493061,2.451369127,3
8,Hotel Vibra Beverly Playa,39.54375287,2.462590261,3
9,Bon Sol Resort & Spa,39.54695812,2.581117724,4
10,Bon Aire,39.55038624,2.453754292,1
11,Carabela Hotel,39.54393269,2.453099619,4
13,Alua Gran Camp de Mar,39.5432243,2.426384478,4
14,FERGUS Club Europa,39.54494241,2.44024175,3.5
15,Hilton Mallorca Galatzo,39.53717053,2.47459256,4
16,Bahia Del Sol,39.5202692,2.478134909,4
17,Hotel y Apartamentos Casablanca,39.52301947,2.483249412,3
18,Gaya,39.54436544,2.45265316,3
19,Holiday Center,39.53024011,2.48500639,2.5
20,Grupotel Nilo & Spa,39.55155859,2.457350542,4
22,allsun Hotel Paguera Park,39.55330971,2.458000767,3.5
23,H10 Blue Mar - Erwachsenenhotel ab 16 Jahren,39.54963922,2.436430946,4
25,Melia Palma Marina,39.56563141,2.623929815,4
26,Club Santa Ponsa,39.53175154,2.476806118,3
27,Don Carlos Hostel - Erwachsenenhotel,39.5510068,2.455995431,1.5
28,BQ Bulevar Paguera - Erwachsenenhotel,39.54274478,2.448737157,4.5
29,Roc Illetas Hotel & Appartement,39.54049109,2.589055922,3.5
30,Iberostar Selection Jardin del Sol Suites - Erwachsenenhotel,39.5299896,2.471631238,4
31,Globales Santa Ponsa Park,39.52410971,2.483293946,3.5
32,HSM S´Olivera Hotel & Apartments,39.5490614,2.453218777,4
33,Son Caliu Hotel Spa Oasis,39.54033084,2.534145,4
34,Hotel Tora,39.54283505,2.448852112,3
35,Hotel Venecia,39.55166064,2.456374203,3
36,Secrets Mallorca Villamil Resort & Spa - Erwachsenenhotel,39.54377646,2.456463401,4.5
37,Villa Columbus,39.54479683,2.453716788,2
39,Hostal Residencia Sutimar,39.54700337,2.455401059,3
40,Mar Hotels Paguera,39.54820552,2.462754688,4
42,Hostal Villa Rosa,39.54478361,2.452632405,3
44,Bonanza Park,39.54262218,2.590289951,4
45,Palace Bonanza Playa & Spa,39.54839771,2.580699618,4
46,Ponent Apartamentos,39.54941952,2.461998609,3.5
47,Ponent Mar,39.53407938,2.537563865,4
48,Sentido Fido Punta del Mar - Erwachsenenhotel,39.528228,2.469379402,4
49,H10 Punta Negra,39.53654167,2.544795801,4
50,Flor los Almendros Apartments,39.54789293,2.454216154,2
51,Valentin Reina Paguera Hotel - Erwachsenenhotel,39.54467402,2.456174409,3.5
52,Globales Playa Santa Ponsa,39.52371268,2.483445935,3
53,Plazamar Serenity Resort,39.53166814,2.485245061,3
54,Be Live Experience Costa Palma,39.55820903,2.592381755,3.5
55,La Pergola Aparthotel,39.55149787,2.387805835,4
56,HSM Linda Playa,39.545002,2.45569657,3
57,Los Tilos,39.54334416,2.45391775,3
58,Palmira Madrigal,39.54778147,2.464190358,4.5
59,BQ Paguera Boutique Hotel - Erwachsenenhotel,39.54902158,2.455499304,3
60,Universal Aparthotel Don Camilo,39.58137209,2.377988881,4
61,Sol House The Studio - Calvia Beach,39.51024344,2.531992268,3
62,Tomir Portals Suites,39.53808873,2.563432469,3.5
63,Hotel Bahia,39.54983949,2.464204746,4
64,Boutique Bon Repos - Erwachsenenhotel,39.52904473,2.483004115,2.5
65,ZAFIRO Palma Nova,39.5312368,2.526241564,4
66,Sheraton Mallorca Arabella Golf Hotel,39.58980139,2.614674468,5
67,Brismar - Erwachsenenhotel,39.54986663,2.397708791,2.5
68,Globales Cala Vinas - Erwachsenenhotel,39.51614384,2.526634784,4
69,Cupido Boutique Hotel,39.54571086,2.453259617,4
71,Aparthotel Paguera Beach,39.5521771,2.456329234,4
72,Maria Eugenia,39.53880758,2.452906294,2.5
73,Hotel de Mar Gran Melia - Erwachsenenhotel,39.54669494,2.590885948,5
74,Flor los Almendros Hotel,39.54616615,2.453396679,3
75,Gran Melia Victoria,39.56994195,2.603491431,5
76,Miranda,39.51698849,2.485380698,1.5
77,allsun Hotel Palmira Paradise,39.54914946,2.463864166,4
78,allsun Hotel Bella Paguera,39.53679604,2.46127354,4.5
80,Sol Wave House All Suites,39.52572779,2.526234191,3.5
81,ZAFIRO Rey Don Jaime,39.52568644,2.484270051,3.5
82,Grupotel Aguait Resort & Spa,39.69334411,3.437951583,4
83,Agulla Park Sun Club,39.71705903,3.452127951,1
84,Prinsotel Alba,39.38854449,3.219954825,4
85,Hostal Alcina,39.71392192,3.440251089,1
86,Hostal Alfonso,39.70590954,3.418396109,2
87,Hotel Alondra,39.7009988,3.407834386,3
88,Hotel Amoros,39.70940471,3.452746673,3
89,Globales America,39.46184244,3.274969065,4
90,Gavimar Ariel,39.4047576,3.203691091,3
91,Protur Atalaya,39.60493222,3.343144227,3
92,allsun Hotel Bahia del Este,39.59749776,3.363943633,4.5
93,Msh Mallorca Senses Hotel Santa Ponsa - Erwachsenenhotel,39.52525864,2.481620194,4
94,Bella Mar,39.70499216,3.415410928,2.5
95,Bella Playa & Spa,39.71521364,3.433977723,4
96,Cala Gat,39.71182089,3.450558099,4
97,Guya Wave Hotel,39.70878141,3.418011375,3
98,THB Cala Lliteras,39.71518523,3.43488587,4
99,Hostal Cala Ratjada,39.71624273,3.450911796,1
100,Club Hotel Cala Ratjada,39.70906359,3.406903637,3
101,Baviera,39.70574328,3.434068046,3.5
102,Hotel Capricho & Spa,39.71136406,3.444473855,3
103,Ca´s Bombu,39.70852716,3.4415358,2
105,Hotel Clumba,39.70304992,3.430196997,3
106,Diamant Hotel & Aparthotel,39.7100153,3.412979258,3.5
107,THB Dos Playas - Erwachsenenhotel,39.70621418,3.437839863,3
108,CO.NET Holiday Hotel Paradise Residencial,39.7168098,3.449692015,3
109,Flacalco Hotel & Apartments,39.70597541,3.413237519,3
110,Hostal Gami,39.70509419,3.419430141,1
111,THB Guya Playa,39.71814019,3.452763738,4
113,Apartamentos La Perla Negra,39.71502307,3.450160552,1
114,allsun Hotel Lux de Mar,39.71318163,3.419204384,4
115,Mar Azul PurEstil Hotel & Spa - Erwachsenenhotel,39.71546697,3.43223841,4
116,Bell Port,39.70945942,3.411538469,3
117,Parque Nereida Suites Hotel - Erwachsenenhotel,39.71699326,3.447275302,3.5
118,HSM Regana - Erwachsenenhotel,39.71757938,3.446122466,4
119,Quijote Park,39.71621948,3.449298382,3
120,Hotel Marbel,39.70667929,3.436007481,2
121,Hotel & Spa S´Entrador Playa,39.71192085,3.410667201,4
122,Hotel Serrano Palace,39.70392468,3.434024503,5
123,Protur Turo Pins Hotel,39.71129871,3.415693832,4
124,Chevy Hotel,39.70816305,3.430058195,2.5
125,Hotel & Appartements Vista Sol,39.71268324,3.457010581,2
126,COOEE Anba Romani,39.6004379,3.371873239,3.5
127,Hipotels Bahia Grande,39.59052408,3.364410415,3.5
128,Biniamar,39.60166903,3.350007801,3
129,allsun Hotel Borneo,39.59608534,3.340471962,4
130,Hipotels Cala Millor Park,39.59925082,3.343035836,3.5
131,Marins Beach Club,39.59702006,3.346871223,4
132,CM Castell de Mar,39.59973366,3.355837949,4
133,Ciudad Laurel,39.61075174,3.356897973,3
134,Hipotels Don Juan,39.60280843,3.360736946,3
135,Hipotels Dunas Cala Millor,39.58981868,3.376900941,4
136,Hipotels Flamenco,39.59513668,3.363311674,4
137,Hotel Girasol,39.60099949,3.361629263,4
138,Kyrat Amarac - Erwachsenenhotel,39.60454979,3.348438298,4
139,Hipotels Hipocampo - Erwachsenenhotel,39.59797268,3.37366132,4
140,Hipotels Hipocampo Playa,39.59346384,3.355039617,4
142,Blue Sea Cala Millor,39.60069155,3.372571977,3
143,Hoteles & Apartamentos La Santa Maria,39.59714991,3.367350292,3
145,Marins Playa,39.60802224,3.383382261,4
146,Hipotels Mercedes,39.59868603,3.347196377,3.5
147,R2 Cala Millor Beach Apartment,39.60089606,3.371799998,2
148,Ilusion Moreyo,39.6154592,3.357817512,3.5
149,Morito,39.60111233,3.351486951,4
150,CM Playa del Moro,39.59958227,3.363515531,4
153,Sabina Playa,39.60950858,3.355714774,3.5
154,Hipotels Said,39.59997223,3.356113935,4
155,allsun Hotel Sumba,39.59225095,3.374170504,4
156,Aparthotel Tropicana & Trebol,39.60884423,3.344762765,3.5
158,Ilusion Vista Blava,39.60537133,3.363619559,3
159,Voramar,39.60600204,3.348279272,3
160,Inturotel Cala Azul,39.38791177,3.227835332,3
161,Blue Sea Club Martha´s Resort,39.37284917,3.219332221,4
162,Inturotel Esmeralda Park,39.38810852,3.225793615,3
163,Gavimar La Mirada Club Resort,39.37330436,3.219887812,3
164,Barcelo Illetas Albatros - Erwachsenenhotel,39.54565944,2.589135459,4
166,Cupid´or,39.54941336,2.459503321,3
167,Hotel Morlans,39.5390027,2.459419399,4
168,Hotel Diamante,39.54826573,2.456518663,2.5
169,FERGUS Style Cala Blanca Suites,39.52918914,2.471066263,4
170,Hostal Neptuno,39.54212515,2.450991288,3
171,Be Live Adults Only Marivent - Erwachsenenhotel,39.56324695,2.581328251,4
172,FERGUS Style Tobago - Erwachsenenhotel,39.52678594,2.532138083,4
173,Hostal Villa Cati,39.55108614,2.458031571,2
174,JS Yate,39.75672014,3.138101653,3.5
175,Hotel Morlans Garden,39.54448277,2.459883194,4
176,allsun Hotel Paguera,39.54147364,2.451883279,3
177,Sol Palmanova,39.52561181,2.52971852,3.5
178,Sol Guadalupe,39.51812104,2.525299659,3.5
179,Grupotel Acapulco Playa - Erwachsenenhotel,39.53163239,2.758628904,4
180,MLL Indico Rock - Erwachsenenhotel,39.51947244,2.772567589,3.5
181,HM Balanguera Beach - Erwachsenenhotel,39.53070777,2.745362833,3.5
182,BQ Amfora Beach - Erwachsenenhotel,39.54717696,2.740226566,3.5
183,BQ Apolo,39.54720433,2.73970533,4
184,Hotel Planet Blue,39.50966235,2.757469858,2
185,Hotel AYA - Sea Hotel,39.51962473,2.764946873,4
186,HM Ayron Park,39.5134287,2.757018496,4
187,azuline Hotel Bahamas & Bahamas II,39.49946989,2.759016261,3
188,Balear,39.53862934,2.723895525,3
189,Ipanema Beach,39.50329757,2.762639818,3
190,Boreal & Condor,39.52867671,2.755859995,3
191,Hotel Vibra Palma Cactus,39.53206451,2.757434266,3
192,tent Capi Playa,39.53459128,2.763981215,3
193,BQ Carmen Playa,39.5169017,2.764564139,3
194,Villa Chiquita Hotel & Spa,39.35119644,2.985866723,4
195,Colonial,39.33055562,2.99442455,1
196,Hotel Condor,39.53347989,2.76753488,3
197,Cosmopolitan,39.53360591,2.76579716,4
198,allsun Hotel Cristobal Colon,39.52458027,2.751576985,4
199,Universal Hotel Don Leon,39.35546123,2.988118161,4
200,Don Miguel Playa,39.52772901,2.754899071,3
201,HM Dunas Blancas,39.51287666,2.756899372,3.5
202,THB El Cid - Erwachsenenhotel,39.54424438,2.745191213,4
203,El Coto,39.34314511,2.987432322,5
204,Principe,39.52410079,2.747233709,4
205,allsun Hotel Marena Beach,39.51639017,2.76858629,3.5
206,Es Trenc Apartments,39.32634494,2.995246866,3
207,MySeaHouse Hotel Flamingo - Erwachsenenhotel,39.52020483,2.755231277,4
208,Fontanellas Playa,39.53575492,2.735371802,4
209,Pure Salt Garonda - Erwachsenenhotel ab 18 Jahren,39.52937956,2.75904984,4.5
210,tent Playa de Palma,39.51122544,2.757696642,3
211,HSM Golden Playa,39.53954744,2.755825278,4
212,Gracia,39.51251725,2.769319158,2
213,HM Gran Fiesta,39.53735102,2.760914801,4
214,Hotel Hispania,39.52510007,2.775747932,3.5
215,Foners - Erwachsenenhotel,39.53115508,2.771624594,3
216,Ibiza,39.34662312,2.985799994,2
217,Ipanema Park,39.50537412,2.765675533,3
218,Isla de Cabrera Aparthotel,39.33571639,2.99732514,4
219,Jade,39.52810689,2.768418348,3
220,Kilimanjaro,39.5135381,2.775486837,3
221,allsun Hotel Kontiki Playa,39.53718863,2.762118537,3.5
222,Cook´s Club Palma Beach - Erwachsenenhotel,39.52219606,2.750598849,3
